ID;Nome;Descricao;Preco;Categoria;Quantidade Disponivel;Detalhe 1: Nome;Detalhe 1: Valor;Detalhe 2: Nome;Detalhe 2: Valor;Detalhe 3: Nome;Detalhe 3: Valor
019;Pingente Mandala em Prata Oxidada;Pingente em prata oxidada no formato de mandala, perfeito para quem busca um acessório com um toque espiritual e elegante.;480.00;Pingentes;1;Material;Prata Oxidada;Formato;Mandala;Simbolismo;Espiritualidade
020;Anel de Prata e Ouro com Cristal Rutilado;Anel sofisticado em prata com banho de ouro, destacando a beleza de um magnífico cristal rutilado.;690.00;Anéis;1;Material;Prata;Pedra;Cristal Rutilado;Banho;Ouro
021;Colar de Prata com Citrino Amarelo;Colar em prata com um radiante citrino amarelo, realçado por um luminoso banho de ouro.;890.00;Colares;1;Material;Prata;Pedra;Citrino Amarelo;Banho;Ouro
022;Colar Baleia em Filigrana com Labradorita;Encantador colar de Baleia em filigrana de prata 1000, apresentando uma bela labradorita com cravação inglesa e um luxuoso banho de ródio.;1200.00;Colar,Filigrana;1;Material;Prata 1000;Pedra;Labradorita;Banho;Ródio
023;Brinco Mandala em Prata Oxidada;Brinco em prata com acabamento oxidado no formato de mandala, um par que complementa o visual com elegância e simbolismo.;385.00;Brincos;1;Material;Prata Oxidada;Formato;Mandala;Estilo;Elegância Simbólica
025;Pingente de Prata Fundida em Cera;Pingente com um design elaborado e único, criado a partir de prata fundida em um molde de cera.;280.00;Pingentes;1;Material;Prata;Técnica;Fundição em Cera;Design;Elaborado
030;Anel com Turmalinas Verde Degradê;Anel deslumbrante em prata com turmalinas verdes em um belo efeito degradê, uma verdadeira obra de arte da natureza.;420.00;Anéis;1;Material;Prata;Pedra;Turmalinas Verdes;Efeito;Degradê
032;Brinco de Ouro com Turmalina Verde;Brinco de alto padrão em ouro, com a vibrante e energética turmalina verde como destaque principal.;5600.00;Brincos;1;Material;Ouro;Pedra;Turmalina Verde;Estilo;Vibrante
038;Anel Pedra da Lua Cabochão 1;Anel místico em prata com uma pedra da lua de brilho etéreo, em lapidação cabochão.;280.00;Anéis;1;Material;Prata;Pedra;Pedra da Lua;Lapidação;Cabochão
038;Anel Pedra da Lua Cabochão 2;Segunda versão do anel em prata com a encantadora pedra da lua em lapidação cabochão.;260.00;Anéis;1;Material;Prata;Pedra;Pedra da Lua;Lapidação;Cabochão
039;Colar Madrepérola NS de Fátima;Colar em prata com banho de ouro e um pingente redondo de madrepérola com a imagem de Nossa Senhora de Fátima.;325.00;Colar,Pingentes;1;Material;Prata;Pedra;Madrepérola;Banho;Ouro
043;Brinco Filigrana com Ametista em Gota;Brinco trabalhado em filigrana com ametistas em formato de gota, finalizado com um luxuoso banho de ouro 18 quilates.;420.00;Brinco,Filigrana;1;Material;Não especificado;Pedra;Ametista em Gota;Banho;Ouro 18k
044;Brinco de Ouro com Água Marinha;Brinco clássico e luxuoso em ouro, apresentando a serenidade e a beleza da pedra água marinha.;3200.00;Brincos;1;Material;Ouro;Pedra;Água Marinha;Estilo;Luxo Clássico
046;Anel de Mindinho em Prata;Delicado anel de mindinho em prata, criado com a técnica de cera perdida, perfeito para um toque sutil de estilo.;160.00;Anéis;1;Material;Prata;Técnica;Cera Perdida;Uso;Anel de Mindinho
047;Conjunto Colar e Pingente de Ônix;Conjunto de colar e pingente em prata com banho de ródio e uma imponente pedra ônix, combinando sobriedade e brilho.;220.00;Colar,Pingentes;1;Material;Prata;Pedra;Ônix;Banho;Ródio
048;Colar de Água Marinha e Ouro;Colar deslumbrante que combina o brilho do ouro com a beleza translúcida da água marinha, uma joia de pura sofisticação.;4500.00;Colares;1;Material;Ouro;Pedra;Água Marinha;Estilo;Sofisticado
050;Colar de Pérola com Esmeraldas Indianas;Exuberante colar de pérolas, cravejado com esmeraldas indianas e realçado por um deslumbrante banho de ródio.;2800.00;Colares;1;Material;Pérola;Pedra;Esmeraldas Indianas;Banho;Ródio
052;Brinco em Prata Texturizada;Par de brincos em prata com acabamento texturizado, adicionando um toque moderno e despojado ao seu visual.;180.00;Brincos;1;Material;Prata;Acabamento;Texturizado;Estilo;Moderno
058;Colar de Pérola Fio Duplo com Rubi Indiano;Sofisticado colar em pérola com fio duplo, adornado com a intensidade de um rubi indiano e um requintado banho de ouro.;2600.00;Colares;1;Material;Pérola;Pedra;Rubi Indiano;Banho;Ouro
061;Corrente Elo Português em Prata;Clássica corrente de 40cm em prata, com o tradicional e sempre elegante elo português.;120.00;Colares;1;Material;Prata;Comprimento;40cm;Estilo;Elo Português
062;Colar Trançado em Prata 1000;Colar com um design trançado único em prata 1000, uma peça de destaque que combina elegância e modernidade.;2180.00;Colares;1;Material;Prata 1000;Design;Trançado;Estilo;Moderno
065;Colar de Prata com Ametista;Colar em prata com banho de ouro e a mística e poderosa pedra ametista em destaque.;540.00;Colares;1;Material;Prata;Pedra;Ametista;Banho;Ouro
066;Colar de Prata com Ametista (2);Segunda opção de colar em prata com banho de ouro e uma bela ametista, irradiando energias positivas.;680.00;Colares;1;Material;Prata;Pedra;Ametista;Banho;Ouro
069;Corrente com Pingente de Folha;Conjunto de corrente e pingente de folha em prata, criado com a detalhada técnica de cera perdida, capturando a beleza da natureza.;220.00;Colar,Pingentes;1;Material;Prata;Técnica;Cera Perdida;Design;Folha
072;Colar com Pingente Diamante;Colar em prata com um pingente na forma de diamante, finalizado com um elegante banho de ródio. Sinônimo de glamour e brilho.;180.00;Colar,Pingentes;1;Material;Prata;Formato;Diamante;Banho;Ródio
074;Pingente de Prata Coração;Romântico pingente em formato de coração, modelado em cera e fundido em prata. Uma peça delicada e cheia de significado.;150.00;Pingentes;1;Material;Prata;Técnica;Cera e Fundição;Design;Coração
078;Anel Mandala em Prata Oxidada;Anel em prata com acabamento oxidado, apresentando um belíssimo formato de mandala, uma peça cheia de significado.;410.00;Anéis;1;Material;Prata Oxidada;Formato;Mandala;Estilo;Místico
